State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,33309,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33310,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33311,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33312,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33313,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33314,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33315,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33316,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33317,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33318,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33319,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33320,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33321,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33322,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33323,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33324,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33325,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33326,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33327,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33328,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33329,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33330,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33331,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33332,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33334,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33335,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33336,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33337,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33338,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33339,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33340,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33345,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33346,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33348,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33349,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33351,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33355,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33359,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33388,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33394,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33441,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33442,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33443,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32421,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32424,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32430,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32449,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,33927,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33938,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33946,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33947,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33948,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33949,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33950,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33951,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33952,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33953,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33954,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33955,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33980,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33981,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33982,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,33983,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,34224,Florida State and County,0.06,0.07000,0.01000,0,0,2
